PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
bNntY,r4rk1/4pq1p/p2p2pB/1ppP2p1/2P1BP2/1P2P3/P6P/Q3K2R w K - 0 23,f4g5 f7f2 e1d1 f2f1 h1f1 f8f1 d1c2 f1a1,1372,77,96,33747,crushing exposedKing middlegame sacrifice skewer veryLong,https://lichess.org/w2ScSchX#45,
ZeGBV,5rk1/pb1n3p/1p1p4/2p2pB1/2PP2P1/P1P5/2Q5/R3RKNq w - - 0 22,e1e2 f5g4 f1e1 h1g1 e1d2 g1a1,1342,75,95,32766,crushing discoveredAttack exposedKing long middlegame skewer,https://lichess.org/f6sFNM9m#43,
TxBaO,2k5/pp4Q1/2p5/P1Pp1P2/1P3KP1/7q/8/8 w - - 4 57,f4e5 h3c3 e5f4 c3g7,1286,75,96,32530,crushing endgame queenEndgame short skewer,https://lichess.org/KGXyFXTM#113,
HtVx3,r1b1r1k1/ppp2ppp/8/3PP3/P3NPn1/5BPq/1P2Kb1P/R1BQ3R w - - 7 18,f3g4 c8g4 e2f2 g4d1,1365,77,97,32498,crushing opening short skewer,https://lichess.org/SSuyNkEg#35,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit
WdnbC,1r1rkq2/1p3p2/1b2nQ2/p2Bp3/4P2P/1NP3R1/PP4P1/3R3K w - - 1 29,f6e5 b6c7 e5f5 c7g3,1387,71,95,32184,advantage middlegame short skewer,https://lichess.org/EsFlxpEm#57,
v0ccb,8/7p/p2R1p2/1p1P3k/1K6/P3QP2/1P5P/3qr3 w - - 7 38,e3f4 d1a4 b4c5 a4f4,1346,75,96,32094,crushing endgame short skewer,https://lichess.org/2zekyEcT#75,
NEIer,5kr1/1q3p2/4p2Q/p1p3p1/P1Pp4/1P5P/5PP1/4R1K1 b - - 4 36,f8e7 e1e6 f7e6 h6h7 e7f6 h7b7,1364,76,96,31974,crushing endgame fork long sacrifice skewer,https://lichess.org/9WAK5cdx/black#72,
SMyL5,r4r2/3R3p/2bNkp2/2P1p3/8/8/2P2P1P/1K4R1 w - - 5 32,d7h7 f8b8 b1c1 a8a1 c1d2 a1g1,1381,73,95,31935,crushing endgame long skewer,https://lichess.org/v6Bil7KT#63,
vXodk,7r/r2k2p1/2Rbp2p/p4p2/P2P4/5P1P/3B2P1/2R3K1 b - - 0 26,h8b8 c6d6 d7d6 d2f4 d6e7 f4b8,1389,72,95,31874,attraction crushing endgame long sacrifice skewer,https://lichess.org/yKryGXzB/black#52,
K4z8p,8/1p5p/6k1/8/2q3P1/1p2R2P/4RK2/8 w - - 4 48,e2b2 c4f4 f2e2 f4h2 e2d3 h2b2,1347,80,95,31826,crushing endgame exposedKing long queenRookEndgame skewer,https://lichess.org/RSHOPrPS#95,
gRaB4,8/8/4Q1pp/5p1k/3B3q/P4P2/5KP1/8 w - - 1 45,f2e3 h4e1 e3d3 e1e6,1392,76,95,31755,crushing endgame short skewer,https://lichess.org/zyzgUaEW#89,
gnBy3,8/5pk1/3p4/p1b5/Pp5P/5Q2/1qP3P1/5K1R w - - 0 38,f3d1 b2f6 d1f3 f6a1 f1e2 a1h1,1242,75,95,31580,advantage endgame long skewer,https://lichess.org/q3XSIvuD#75,
4RJTS,r4k2/p1pb1r1p/2pp1pP1/4q2N/4PRR1/3P2QP/6P1/7K b - - 0 28,h7g6 g4g6 e5h5 g6g8 f8e7 g8a8,1353,79,96,31488,advantage exposedKing long middlegame sacrifice skewer,https://lichess.org/N8lhWsb7/black#56,
2eWKZ,1r2r1k1/1pp2pp1/p7/8/1PP5/7R/5PK1/R7 b - - 1 30,e8e4 a1h1 g8f8 h3h8 f8e7 h8b8,1351,74,95,31435,advantage endgame long quietMove rookEndgame skewer,https://lichess.org/TbHj7gRW/black#60,
pWaUw,8/6R1/2p2Bp1/3p1kP1/b1pP4/5K2/4rPP1/8 b - - 7 46,e2e1 g2g4 f5e6 g7e7 e6d6 e7e1,1321,74,96,31291,crushing endgame long skewer,https://lichess.org/N7t7s6yt/black#92,
